# LAMMPS data file written by WriteLammpsdata function in RASPA(written by Zhao Li)
1007  atoms
0  bonds
0  angles
0  dihedrals
0  impropers
0.0      36.174000000000 xlo xhi
0.0      31.409760388580 ylo yhi
0.0      39.621370056408 zlo zhi
  -18.246440127652    -0.161748620188    -0.088923995918 xy xz yz

5 atom types
0 bond types
0 angle types
0 dihedral types
0 improper types

Masses

1     83.800000000000  # Kr_
2     15.999404927130  # O
3     12.010735896764  # C
4     51.996133070619  # Cr
5      1.007940753896  # H

Pair Coeffs

1      0.330670586763      3.636000000000 # Kr_
2      0.059993659942      3.120000000000 # O
3      0.104983936891      3.430000000000 # C
4      0.015003382993      2.690000000000 # Cr
5      0.043996675426      2.570000000000 # H

Atoms

109  1  3                 0.0		           4.10327             9.35434             1.73205		# C
110  1  3                 0.0		           4.91336             8.92671             0.67653		# C
111  1  3                 0.0		           5.29295             7.33932            18.62997		# C
112  1  3                 0.0		           5.99553             6.96774            17.72363		# C
113  1  5                 0.0		           2.96209             6.24860            19.40734		# H
114  1  5                 0.0		           1.61352             7.03506             1.44460		# H
115  1  5                 0.0		           4.41857            10.21193             2.31329		# H
116  1  5                 0.0		           5.83425             9.45660             0.46337		# H
117  1  2                 0.0		           1.36549             8.40015            25.85393		# O
118  1  2                 0.0		          -1.20483             8.45524            26.28898		# O
119  1  3                 0.0		          -2.28218             9.07582            26.53562		# C
120  1  2                 0.0		          -2.67033            10.07477            25.84938		# O
121  1  2                 0.0		          -1.34208            12.27450            26.29492		# O
122  1  3                 0.0		          -0.26657            12.89632            26.54790		# C
123  1  2                 0.0		           0.79695            12.73168            25.86879		# O
124  1  2                 0.0		           2.03354            10.47721            26.30344		# O
125  1  3                 0.0		           2.03489             9.23285            26.54453		# C
126  1  2                 0.0		           0.88414             8.47035            23.19693		# O
127  1  2                 0.0		          -1.68789             8.39823            23.63177		# O
128  1  3                 0.0		          -2.36526             9.22602            22.93899		# C
129  1  2                 0.0		          -2.36447            10.46990            23.19277		# O
130  1  2                 0.0		          -1.14533            12.73040            23.63969		# O
131  1  3                 0.0		          -0.08336            12.90562            22.96138		# C
132  1  2                 0.0		           0.99636            12.29006            23.21119		# O
133  1  2                 0.0		           2.33927            10.09699            23.64623		# O
134  1  3                 0.0		           1.95965             9.09704            22.95682		# C
135  1  4                 0.0		          -0.16109             8.50206            24.74295		# Cr
136  1  4                 0.0		          -1.81904            11.35170            24.74434		# Cr
137  1  4                 0.0		           1.48028            11.36330            24.75721		# Cr
138  1  2                 0.0		          -0.16635            10.40626            24.74909		# O
139  1  2                 0.0		           6.65724             5.10227            33.13813		# O
140  1  2                 0.0		           7.89924             2.84631            33.53652		# O
141  1  3                 0.0		           8.97474             2.66669            32.88673		# C
142  1  2                 0.0		          10.05903             3.26399            33.14645		# O
143  1  2                 0.0		          11.38796             5.46821            33.55118		# O
144  1  3                 0.0		          11.00772             6.48782            32.89703		# C
145  1  2                 0.0		           9.94813             7.12974            33.15259		# O
146  1  2                 0.0		           7.37276             7.17959            33.54385		# O
147  1  3                 0.0		           6.68273             6.34164            32.88574		# C
148  1  2                 0.0		           6.37660             5.45169            35.80207		# O
149  1  2                 0.0		           7.71733             3.25274            36.20086		# O
150  1  3                 0.0		           8.80514             2.66025            36.45879		# C
151  1  2                 0.0		           9.87994             2.84828            35.80999		# O
152  1  2                 0.0		          11.11111             5.10871            36.21512		# O
153  1  3                 0.0		          11.07835             6.34678            36.47306		# C
154  1  2                 0.0		          10.38324             7.18359            35.81891		# O
155  1  2                 0.0		           7.80737             7.11879            36.20938		# O
156  1  3                 0.0		           6.74892             6.47229            36.45879		# C
157  1  4                 0.0		           7.22736             4.20098            34.66989		# Cr
158  1  4                 0.0		          10.54443             4.20975            34.68059		# Cr
159  1  4                 0.0		           8.87826             7.07794            34.68118		# Cr
160  1  2                 0.0		           8.88347             5.16289            34.67761		# O
161  1  3                 0.0		           8.91934            -0.00470            29.80577		# C
162  1  3                 0.0		          -1.37892            15.00230            29.50425		# C
163  1  3                 0.0		          -1.40269            14.09129            28.44339		# C
164  1  3                 0.0		          -0.24868            13.86703            27.66840		# C
165  1  3                 0.0		           0.92780            14.57509            27.98140		# C
166  1  3                 0.0		           0.94814            15.48485            29.04227		# C
167  1  3                 0.0		           8.94266             0.93452            30.89556		# C
