ID	Temp	Pres	Molec_cm3overcm3
9542	298	20000	132.8210649
11538	298	20000	10.05127427
12587	298	20000	149.1572358
12754	298	20000	146.8401861
1878	298	20000	14.53838859
248	298	20000	31.22301998
2638	298	20000	117.4247229
2716	298	20000	67.72183986
2789	298	20000	130.2330517
2873	298	20000	133.1039297
3511	298	20000	57.8042128
4424	298	20000	
4499	298	20000	148.3462798
4909	298	20000	47.92428365
4936	298	20000	129.2457522
5058	298	20000	142.5254203
7129	298	20000	147.8680469
7321	298	20000	143.7497396
7404	298	20000	150.5292592
8132	298	20000	151.2434572
8997	298	20000	135.5770577
901	298	20000	125.6207747
9078	298	20000	64.79981088
9176	298	20000	9.143695662
9530	298	20000	70.1670236
10039	298	20000	154.9176556
11537	298	20000	40.25723465
118	298	20000	8.447418507
11813	298	20000	90.11815479
12588	298	20000	148.6089856
12719	298	20000	146.9052188
12872	298	20000	149.9024712
13362	298	20000	134.0970336
13388	298	20000	149.5275815
1442	298	20000	96.18757794
201	298	20000	77.85873558
2356	298	20000	52.85128896
3736	298	20000	135.1694685
4527	298	20000	99.54062221
5309	298	20000	146.4490842
5486	298	20000	127.2933651
6883	298	20000	148.6342073
7636	298	20000	124.4053202
8233	298	20000	19.54439303
8621	298	20000	116.5485053
9149	298	20000	36.7067208
9675	298	20000	107.6032562
9740	298	20000	151.3362076
9903	298	20000	9.661897762
11078	298	20000	115.1473343
1133	298	20000	133.235223
153	298	20000	112.3673812
2765	298	20000	105.5940928
292	298	20000	106.9394295
2976	298	20000	141.4491402
306	298	20000	93.02617909
3082	298	20000	139.910678
3092	298	20000	142.6320865
3730	298	20000	83.109549
3962	298	20000	
4797	298	20000	129.9086611
4933	298	20000	133.7835168
5196	298	20000	85.90494318
5589	298	20000	135.1321972
5713	298	20000	112.9684188
6279	298	20000	151.9882723
6447	298	20000	131.8334516
7205	298	20000	119.8074384
7590	298	20000	116.1841772
7911	298	20000	139.9219486
8125	298	20000	150.8706573
8234	298	20000	26.67659992
9657	298	20000	135.1573449
11727	298	20000	152.136409
11793	298	20000	146.6167008
11838	298	20000	133.0984663
12600	298	20000	130.710306
1274	298	20000	104.2688754
1731	298	20000	23.92222327
1863	298	20000	15.3346898
1923	298	20000	15.57683184
2061	298	20000	153.4396301
2458	298	20000	142.7192813
2510	298	20000	120.2481931
3057	298	20000	0
4001	298	20000	137.6922334
4905	298	20000	42.56144712
5758	298	20000	132.0157511
5991	298	20000	131.1167436
7207	298	20000	129.9491774
731	298	20000	15.75911201
7426	298	20000	155.0926965
7827	298	20000	145.600132
8687	298	20000	137.5253993
8866	298	20000	97.96902163
9094	298	20000	142.0199157
9764	298	20000	23.7779124
