ID Temp Pres Molec_cm3overcm3
ANUGIA_clean 298 10000 120.816700974
cg500192d_si_002_clean 298 10000 108.6309375331
DIHPIU_charged 298 10000 73.8021358021
FAKLIO_clean 298 10000 85.2615041196
FOFHAK_clean 298 10000 63.6395205291
FULYIW_clean 298 10000 23.7313373804
FUVDEH07_clean 298 10000 12.4860109208
GAJZAU_clean 298 10000 47.0638892536
GIQXIO_clean 298 10000 83.8298413119
GOSDUP_clean 298 10000 37.9055033297
MIBQAR04_clean 298 10000 123.6021864503
MIBQAR09_clean 298 10000 123.0293601672
MIXZOK_clean 298 10000 128.8530984709
MUNDOQ_clean 298 10000 113.7781836508
NABMUA01_clean 298 10000 69.0239799329
NAHFOU_clean 298 10000 32.4063326707
OSUGUG_clean 298 10000 44.9963296576
YOCCIE_clean 298 10000 46.0358145171
AZIXUD_clean 298 10000 78.9125455771
EFESIT_clean 298 10000 68.6381083053
GIFSOF_clean 298 10000 25.4516454048
IDIWIB_clean 298 10000 66.0870369933
IKOVAH_clean 298 10000 103.3189631634
IMAGAG_clean 298 10000 90.8310239168
INIQON_clean 298 10000 38.6816919039
ITIWEO_clean 298 10000 38.1574704567
LEWMUX_clean 298 10000 70.5346267071
MITTAL_charged 298 10000 36.7948728195
NERVAJ_clean 298 10000 63.6380133012
PAMHES01_clean 298 10000 47.4647255939
QEDZEG_clean 298 10000 49.7574346579
QEGGUE_charged 298 10000 84.9662178849
RAZXIA_clean 298 10000 58.3152710849
VATYIZ_clean 298 10000 78.5031446155
WAHFUJ01_clean 298 10000 35.7026214029
WIJXEU_clean 298 10000 104.0668507689
XAPCOJ01_clean 298 10000 89.5451418483
XUWTEO_clean 298 10000 53.5732835437
YARFII_clean 298 10000 49.7977412316
BEPROF_clean 298 10000 95.1799517734
c5ce01594d_c5ce01594d3_clean 298 10000 26.4981438582
DUNJON_clean 298 10000 30.746157257
DUZKEQ_clean 298 10000 93.6305202949
GUPBEZ02_clean 298 10000 114.3616521568
GUXZIJ_clean 298 10000 70.8722572066
IXUHUE_clean 298 10000 0.0002117534
IYOQIY_clean 298 10000 2.2900104848
KIGCEK_clean 298 10000 75.5021754405
MUQYEE_clean 298 10000 112.7814262445
