ID	Temp	Pres	Molec_cm3overcm3
11606	298	1.00E+06	183.6316764
8709	298	1.00E+06	
9075	298	1.00E+06	0.000394359
4352	298	1.00E+06	208.9441155
5252	298	1.00E+06	215.185573
6843	298	1.00E+06	217.66581
13458	298	1.00E+06	141.8515987
7011	298	1.00E+06	216.550343
9814	298	1.00E+06	208.8892148
11176	298	1.00E+06	224.5067143
11687	298	1.00E+06	211.2560131
4598	298	1.00E+06	222.3378634
12982	298	1.00E+06	203.4017388
3136	298	1.00E+06	204.8624822
9999	298	1.00E+06	212.808982
1731	298	1.00E+06	
9541	298	1.00E+06	199.9067763
9791	298	1.00E+06	223.1454445
147	298	1.00E+06	143.6570669
7876	298	1.00E+06	145.7849308
			
2680	298	1.00E+06	201.5947075
8399	298	1.00E+06	219.4626745
9684	298	1.00E+06	221.0455615
11544	298	1.00E+06	212.0945589
2203	298	1.00E+06	220.4308169
2338	298	1.00E+06	222.0570348
3095	298	1.00E+06	220.4423054
3273	298	1.00E+06	200.2550779
617	298	1.00E+06	224.1420626
2192	298	1.00E+06	223.2813416
3119	298	1.00E+06	194.923646
995	298	1.00E+06	204.9917232
282	298	1.00E+06	87.2244054
8401	298	1.00E+06	216.6910498
9167	298	1.00E+06	42.73383292
4117	298	1.00E+06	148.359716
9546	298	1.00E+06	208.7321625
9843	298	1.00E+06	217.893938
12835	298	1.00E+06	188.0205695
3027	298	1.00E+06	218.2655578
4466	298	1.00E+06	223.7724918
6326	298	1.00E+06	223.4143749
6908	298	1.00E+06	221.4695616
6984	298	1.00E+06	226.6432142
11054	298	1.00E+06	207.6906501
1248	298	1.00E+06	170.3370682
7229	298	1.00E+06	221.923674
1163	298	1.00E+06	163.2372779
12731	298	1.00E+06	215.9148461
3473	298	1.00E+06	
12328	298	1.00E+06	
274	298	1.00E+06	209.0780755
9704	298	1.00E+06	102.7267995
10100	298	1.00E+06	218.4167529
1968	298	1.00E+06	213.5621087
6838	298	1.00E+06	221.4512419
13194	298	1.00E+06	181.4309131
8290	298	1.00E+06	210.69258
8761	298	1.00E+06	
3889	298	1.00E+06	213.1993927
7200	298	1.00E+06	172.0506703
7528	298	1.00E+06	214.877056
10283	298	1.00E+06	
13414	298	1.00E+06	214.2882443
7382	298	1.00E+06	219.1240251
6402	298	1.00E+06	202.8272617
7655	298	1.00E+06	225.8212947
8361	298	1.00E+06	216.5658365
12631	298	1.00E+06	211.4823693
2845	298	1.00E+06	217.8548718
8259	298	1.00E+06	215.0694165
3094	298	1.00E+06	222.3053714
3410	298	1.00E+06	
4721	298	1.00E+06	120.4987931
1165	298	1.00E+06	197.7865473
1326	298	1.00E+06	160.3458344
6827	298	1.00E+06	181.4124931
11459	298	1.00E+06	221.4180538
