"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","predicted"
"364","2696",0.86,8.7,19,4931,1796,209.9959248,210.893093747228
"365","2708",0.9,11.1,22.6,5769,1572,217.5142314,218.928027867816
"366","271",0.87,11.5,17.6,4840,1817,203.8990101,211.040075413991
"367","2710",0.91,12.8,25.8,5948,1428,221.4351467,220.033232697545
"368","2726",0.8,6.7,14.8,3799,1935,193.1961592,195.985002644095
"369","2748",0.91,10.7,23.8,6818,1642,220.9153081,219.895675852357
"370","275",0.87,10.8,17.2,5340,1890,204.5777267,212.896530592031
"371","2770",0.5,3.4,9.8,796,908,117.2150389,113.070355999008
"372","281",0.63,4.7,8.6,1252,1156,148.8922935,143.747725113216
"373","2811",0.54,3.5,8.7,803,1005,121.4137497,117.759365443273
"374","2818",0.67,4.9,10.5,1757,1353,152.4815943,155.922094776358
"375","2822",0.79,5.6,13.1,3532,1935,194.8337086,189.720697914819
"376","2845",0.9,10.9,21.3,6125,1682,217.8548718,219.304294478726
"377","2848",0.9,11.5,21.1,5951,1594,217.8695181,219.683629566005
"378","285",0.54,3.9,7.1,688,894,115.0817001,114.157822177386
"379","2856",0.92,14,25.5,5424,1326,217.545857,220.452503346133
"380","2864",0.66,4.3,11.7,1529,1286,152.9058683,150.205032184489
"381","2869",0.82,7.4,15.6,3584,1865,199.0962769,199.819225341429
"382","2870",0.84,8.1,16,4518,1901,206.0198088,205.447253471579
"383","289",0.69,5.8,9.4,2123,2113,153.5022701,168.492639154148
"384","2898",0.82,6.1,14.9,3549,1972,196.713987,193.614062349584
"385","290",0.71,6.6,8.7,2188,1930,174.1881362,167.992811907504
"386","2903",0.94,15.8,30.8,6341,1123,221.577039,222.068953704371
"387","2928",0.86,10,20.5,3938,1635,210.8624849,206.534404573804
"388","2938",0.88,10.5,21.9,5295,1746,216.2841833,214.322078832433
"389","2946",0.68,4.5,9.7,1628,1603,168.3582733,156.93839180122
"390","2950",0.91,14.3,28,5440,1280,219.5512033,218.318893566461
"391","2957",0.69,5,11.4,1792,1639,166.6965387,161.042972347099
"392","2958",0.62,4.9,12.1,1519,1346,151.6790431,146.199046812371
"393","2962",0.77,6,13,2721,1671,185.4990075,182.51097159977
"394","297",0.75,7.1,9.6,2572,1944,183.4081113,176.828779346214
"395","2982",0.91,12,22.5,6211,1560,220.777806,219.237513000665
