"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","predicted"
"753","6982",0.95,16.8,29,6569,1102,34.1202352194,31.2375828990913
"754","6988",0.96,17.3,32.2,8040,927,19.7006634378,24.1520899792441
"755","6996",0.96,19.5,35.6,8405,883,21.5535347202,22.7051352881931
"756","7023",0.93,13.5,24,6703,1442,35.6561755383,44.1425537310273
"757","7030",0.95,17.4,29.9,6604,1090,33.084222843,31.629752267231
"758","7047",0.97,19.3,37.6,8045,800,20.6273243478,23.5804507625669
"759","7054",0.97,23,45.4,7935,629,21.0475923474,21.0974561289508
"760","7055",0.97,22.6,45.2,7546,615,19.8147585528,21.632332349558
"761","7069",0.91,14.3,17.6,5354,1423,35.5334675535,45.5548825300924
"762","7071",0.91,15,18,6400,1412,35.6825625905,44.8111068901772
"763","7075",0.94,17.9,22.7,7032,1125,27.975712203,31.0731072724235
"764","7079",0.95,18.8,22.9,6548,1061,35.8933510474,30.424666146421
"765","7104",0.97,27.1,32.3,6687,643,17.0721885477,22.3774020120574
"766","7105",0.97,29.3,35.4,8388,607,17.7737899627,20.7723308446355
"767","7115",0.74,7.6,9.3,2699,1796,174.7095915362,132.072763273076
"768","7122",0.65,4.7,6,1450,1533,163.0193310547,173.028755058189
"769","7140",0.94,16.9,20.9,7031,1161,34.4093941211,31.6486831507554
"770","7150",0.65,4.4,6.5,1101,1085,188.203623097,185.358341049872
"771","7198",0.67,5.3,6.5,1647,1502,182.1722922696,171.095131059757
"772","7209",0.87,10.9,13,5503,1894,61.4754707306,71.1513563628233
"773","721",0.97,32.9,46,8145,567,19.6077973307,20.2441755281024
"774","7229",0.93,16.4,18.5,7183,1323,33.2812348355,40.2792731045437
"775","7239",0.95,19.7,22.1,6596,1038,22.1670086793,32.7906229150544
"776","7242",0.95,21.1,24.7,6351,901,20.4874598813,27.4354739669553
"777","7249",0.78,8.3,9.8,3482,1937,143.367525153,119.92132591416
"778","7250",0.78,6.9,9.7,3427,2069,145.2680516744,133.419065734302
"779","7257",0.9,13.1,14.7,6138,1697,52.2217257569,58.8666559604363
"780","7262",0.83,8.8,10.2,3932,2119,91.5235327203,109.251757929633
"781","7271",0.94,16,19.1,6792,1276,44.0037788705,38.9204008823999
"782","730",0.94,16.4,24.6,7021,1227,38.7178883757,36.9859658407518
"783","7304",0.93,16.1,18.2,7663,1269,37.4971171175,39.3571991181502
"784","7308",0.94,18.2,20.8,6722,1145,34.1438564921,29.503423767871
"785","7317",0.94,16.7,20.5,6911,1143,27.9278119845,33.1773870926362
"786","732",0.97,27,41.3,8371,708,23.9925366872,20.3881636455632
"787","7323",0.95,21.4,24.1,8149,1054,33.2161020967,27.7093693777338
"788","7337",0.97,26,31.1,8050,683,21.466795201,21.0498978335041
