"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","predicted"
"110","11263",0.9,13.8,24.4,5481,1460,9.9001029497,18.2905587320788
"111","11267",0.93,16,30.2,6305,1220,11.5099766134,11.9489812213636
"112","11305",0.87,12.6,23.1,4876,1480,23.7035501233,25.0017824314396
"113","11307",0.66,3.8,9.5,849,1107,165.8621070604,143.645013450245
"114","11321",0.91,13.3,25.6,5331,1442,26.4677904043,16.9000073282664
"115","11330",0.93,16.7,29.3,6371,1162,5.7733265681,10.7859854386117
"116","11339",0.94,17.8,33.7,7114,1044,7.8715743731,8.05705476504329
"117","11347",0.96,22.1,41.2,8188,798,4.1678544815,4.74148212576814
"118","11348",0.96,23.5,43.4,8016,797,4.0101932479,4.3974607670259
"119","11388",0.87,12.1,15.6,4665,1977,24.3864358291,26.6841777199756
"120","11399",0.9,14.7,20,4458,1558,19.0817183966,24.2592531905998
"121","11411",0.92,16.2,23.5,5834,1588,25.0326796234,18.0431996019362
"122","11419",0.94,20.1,30.2,6642,1225,11.835082538,8.94754289403119
"123","11420",0.94,18.5,27.4,6373,1244,10.387246009,8.36308351156122
"124","11427",0.93,22.8,29.1,5637,1222,15.816636263,12.3631536724701
"125","11444",0.97,28.8,41.9,8339,801,4.0132970559,3.85845672688745
"126","11459",0.92,16.9,26.8,5672,1399,19.1714353788,13.6858523633937
"127","11482",0.95,24.9,35.6,7335,978,5.8997196165,6.81796797847658
"128","11485",0.95,23.5,36.9,6970,919,6.2656927571,6.26688725409708
"129","11486",0.96,26,39.6,7407,884,5.792809582,5.35997811185277
"130","11495",0.87,13.3,18.2,4163,1646,29.9681808425,21.9082283188125
"131","11497",0.85,10.8,20.7,4236,1704,51.8406733698,29.3961635921608
"132","11501",0.87,17.2,23.9,4710,1360,20.0918794368,26.1783706992801
"133","11512",0.93,23.3,29.4,5989,1085,10.702561021,7.87686130595394
"134","11514",0.95,25.2,33.9,6549,968,9.2840473956,6.59563306083187
"135","11516",0.95,24.8,35,6818,939,6.0889996966,6.61340187070032
"136","11551",0.86,13.3,18.8,3839,1709,20.6249004773,30.3793304383084
"137","11554",0.91,16.5,21.8,5535,1512,8.6102947841,17.1469262197184
"138","11568",0.94,19.7,28.4,6900,1170,8.7924609352,8.96756696155677
"139","1157",0.89,33.7,35.2,3819,1352,20.8100403113,30.459568597045
"140","11575",0.94,24.3,31.8,6566,1035,3.847106584,7.32353106648651
"141","11601",0.87,19.4,21.4,4350,1539,14.9183835641,28.1848890362719
"142","11612",0.93,31.6,34,5329,1142,9.8889541069,14.8200396038189
"143","11618",0.93,32.4,34.7,5634,1075,5.2711570573,11.3904813935756
"144","1162",0.9,38.2,38.9,4001,1224,28.4086466757,25.630051237321
"145","1165",0.91,40.1,42.4,4037,1135,33.6088170653,26.5351011591832
"146","1166",0.91,41.3,43,4266,1122,25.2020837066,24.9560969694111
"147","11664",0.95,34,35.5,6984,1022,9.4102365903,7.54247152533974
"148","11692",0.85,20.7,22.2,3623,1360,54.8181649937,38.6215736138273
"149","11696",0.92,28.3,29.5,5079,1263,20.711054506,20.4548183061988
"150","1170",0.91,40.3,41.5,4097,1143,32.8384323216,26.9643757565007
"151","11713",0.87,20.8,21.7,2917,1192,50.6661428401,34.9506711500091
"152","11729",0.96,39.6,43.8,6630,814,7.026488288,4.95083916793804
"153","11733",0.85,17.4,18.9,3431,1440,54.4103108506,41.1688348009119
"154","11744",0.9,26.2,27.2,5011,1349,26.7617384612,17.4503473498002
"155","11752",0.93,30.7,32.9,5430,1147,16.6583045013,11.3628464810249
"156","11757",0.94,34.8,37.1,5310,1025,7.3318026549,10.722330965989
"157","11766",0.95,39.5,42,6855,951,6.9046405265,7.52200337354871
"158","11822",0.96,49,52,7509,734,5.1584463826,5.12393070212524
"159","11836",0.8,19.6,20.4,2870,1305,61.4948460421,56.386178615589
"160","11898",0.97,31,52,6424,642,4.4496988661,3.83340894888284
"161","11914",0.97,34.5,56.6,7334,547,2.3589430365,3.21228773918158
"162","1192",0.82,28.5,29.3,2158,1188,71.946231868,55.7074638706391
"163","11922",0.978429,41.11106,67.58119,6475.974048,411.864288,1.7636784696,2.65931861806463
"164","11938",0.96,23.8,45.2,7512,781,2.7175958099,4.47130201166036
"165","11948",0.97,32.6,55.2,7328,578,3.2698930756,3.04635961277502
"166","11980",0.94,22.9,38.5,6063,953,8.3170258266,7.31756084289245
"167","11982",0.95,23.1,40.2,6247,911,6.0409024021,6.7322710345928
"168","11990",0.93,18.9,32.9,5652,1130,5.6275414302,11.9669812022096
"169","1201",0.81,23.2,24.7,3043,1465,97.1163678651,49.6968606416697
"170","12010",0.98,33.1,57.4,8058,532,2.8648605017,2.89545855408108
"171","12053",0.973816,33.3345,60.41331,7575.748736,539.114615,3.2439871542,2.96330402542313
"172","12066",0.98095,42.38812,71.82708,6798.335612,376.000683,2.126352246,2.17199558572949
"173","12083",0.97,31.3,53.2,7147,626,4.1741083313,3.64220096499706
"174","12091",0.975453,35.70438,61.6924,7633.935043,503.498741,3.157990545,2.87755423136536
"175","12092",0.975165,36.1234,60.5387,7419.860473,500.083572,2.9459074154,2.96636091202318
"176","12122",0.94,21.6,36.1,6549,1015,5.1672824994,7.65869913889503
"177","12131",0.96,28.7,48.1,6445,720,6.8659561123,4.54796611511889
"178","12138",0.97,30.1,51.1,7735,638,3.4973351123,3.66116388871814
"179","12147",0.97,32.7,54.9,8029,588,2.5107957099,3.34581371783623
"180","1215",0.9,31.1,33.1,5104,1387,21.822083094,20.7593615341549
"181","12158",0.981549,41.02251,68.72664,8536.613381,411.542441,2.1547315764,2.20970662918013
"182","12194",0.96,22.5,43.3,6556,883,8.1890846831,6.34499341041005
"183","12206",0.97,28.3,53.9,8677,644,2.8700855946,3.53632362276331
"184","12221",0.94,17.8,33,6098,1191,11.0514493661,9.79031208468487
"185","12233",0.96,21,38.1,6659,963,8.215025189,6.6915771997898
"186","12273",0.95,19.9,36.1,7128,1078,5.776451012,7.79746325289884
"187","12275",0.96,21.3,40.6,6389,981,11.1423801655,6.96499494990266
"188","12279",0.96,23.5,41.5,6120,852,3.3449830543,6.3173818109166
"189","12294",0.89,11.5,21.5,5053,1748,13.1496154786,22.4381571202614
"190","1230",0.93,36.1,39.3,6135,1197,14.2899346553,12.5316998029172
"191","12307",0.87,13.9,26.4,4306,1518,38.5671256645,24.2184435325651
"192","1232",0.92,37.6,40.7,5991,1187,12.0863697067,17.2014131950154
"193","12320",0.9,12.6,23,4993,1610,15.5205512979,23.2963428326721
"194","12391",0.97,31.8,54.6,7708,589,3.4297713286,3.10384110206034
"195","12396",0.98,35.7,62.2,6884,469,2.180608249,2.79515012113639
"196","1243",0.79,21.9,23.5,2466,1330,103.3861939758,64.3085268940253
"197","12452",0.86,17.3,26.6,3605,1398,22.3431473413,36.132875699494
"198","12457",0.92,26,35.6,4519,1105,7.9157773042,16.053698147111
"199","12472",0.96,34.3,45.9,6577,817,3.554444924,6.10033780954137
"200","1248",0.93,45.6,46.8,5892,1072,12.0939644599,9.39312601593351
"201","12507",0.9,25.5,38.3,3516,951,8.9961728572,16.6805902245107
"202","12509",0.92,28.7,40.5,4112,957,10.5214527816,12.398246619555
"203","12514",0.94,30.7,44.6,4495,865,8.653790426,8.59837831643007
"204","12521",0.94,32.8,46.6,4550,819,9.8169780368,7.58905165681951
"205","12527",0.94,35.6,50,5235,792,5.7332665609,7.96235050451744
"206","12551",0.67,9.5,14.8,1865,1364,81.6879249869,87.465498056855
"207","12559",0.87,14.6,21.6,4891,1652,27.9200252224,23.2835066344773
"208","1256",0.92,44.9,46.4,4582,1091,11.315863633,12.4454828573368
"209","12564",0.89,17.5,25.2,4632,1469,43.3527210209,22.3091031827358
"210","12578",0.92,20.8,31.3,5272,1285,28.1651849775,15.400099488741
"211","12581",0.92,21.9,29.7,6158,1267,13.8791061486,13.3508969309623
"212","12588",0.94,26.3,35.3,5591,1041,4.8342195789,10.67239907202
"213","12592",0.7,7.6,12.2,1869,1562,124.2945786202,109.055603760497
"214","126",0.81,8.2,10.8,5318,2278,182.0487356579,86.9151833077992
"215","12634",0.95,34,46.6,6572,854,9.5307856064,5.9974493657328
"216","12668",0.9,24.1,34.3,4234,1094,8.8625677213,19.407044268855
"217","12678",0.73,9.1,17.2,1912,1685,54.9081023539,73.0079811693888
"218","1269",0.9,35.4,36.8,5654,1331,18.439108475,18.5545659323092
"219","12696",0.84,13.5,20.6,3251,1487,57.5825841051,43.8827557244424
"220","12703",0.91,18.2,26,5317,1429,16.5130548613,18.1169398685223
"221","12708",0.92,22.3,30.7,4953,1252,26.4155452257,17.5810230874975
"222","12718",0.93,21.6,31.2,6752,1374,12.5124093575,11.6516721851748
"223","12800",0.72,10,17.4,1792,1490,33.4571238156,67.8083966269195
"224","12839",0.77,12.6,19.1,2645,1407,73.7529573038,61.5996939293081
"225","1284",0.93,49.7,51.2,5028,948,21.8178879993,9.09230379471948
"226","12856",0.93,20.9,28.8,6845,1279,5.3071682825,9.56763327533361
"227","12874",0.95,28.1,39,6734,973,9.8216341209,7.35130871577451
"228","12883",0.76,10.1,16.9,2692,1565,92.1101690772,58.6797029688434
"229","1289",0.94,52.9,54.4,7008,1066,9.470316212,7.91189781337849
"230","12897",0.93,24.6,35.3,5509,1111,13.0639258507,11.3495741553121
"231","12900",0.94,26.3,39.3,5303,1012,19.108911289,9.20581181882297
"232","12926",0.97,38.1,52.2,8146,736,4.6752166569,3.74705653320705
"233","1294",0.95,53.1,55,7197,978,6.2637636238,7.44113161873805
"234","12941",0.89,20.7,29.6,3622,1199,33.222407617,26.8657176895351
"235","12947",0.91,24.4,35,4161,1110,28.7779116637,16.3296330311375
"236","12953",0.92,24.7,34.1,4388,1089,21.6040458662,10.660821290607
"237","12979",0.79,14.4,21,2398,1342,56.5609750577,75.9370201496019
"238","13005",0.93,24.2,33.6,5655,1170,21.2962169714,12.1075559039364
"239","13021",0.96,34,44.3,7675,779,5.2315606578,4.53774147778644
"240","13041",0.94,27.6,39.3,5813,1003,11.023726946,9.83931986229986
"241","13048",0.96,30.4,41.3,7249,935,5.1150237844,5.93489810406356
"242","13051",0.89,17.4,25.3,3764,1295,38.0880335719,23.692519145509
"243","13057",0.96,33,45.8,7103,878,4.9112748806,5.8546150724225
"244","13081",0.88,19.9,30,3125,1192,21.7470467247,35.6603585794184
"245","13093",0.94,29.3,41.6,4939,950,12.7818285457,10.8576329440855
"246","13128",0.89,16.1,24,4276,1456,39.9375830668,26.480147681353
"247","1313",0.83,35.8,36.5,3037,1226,46.8270040137,49.1792254021165
"248","13151",0.94,25.3,34.6,6641,1121,8.8272760992,9.71515751248965
"249","13190",0.95,30.8,44.7,5965,881,9.1258157737,7.83772731127906
"250","13210",0.96,41.3,58.1,6909,656,6.3212318417,4.32871983122072
"251","13243",0.84,16,25.7,2584,1223,38.7637637389,45.3407591136245
"252","13244",0.94,32.1,45,5028,851,5.9581053506,9.60561791763685
"253","13253",0.95,34.8,48.6,5720,780,7.4124760867,6.38871074292974
"254","13268",0.86,17.7,28.2,3009,1209,37.504028964,35.4343899893681
"255","1329",0.92,48.7,50.4,4875,1058,13.3781718644,12.6522713081641
"256","13291",0.8,17,18.6,2710,1604,38.8624658187,57.3943661181489
"257","13297",0.94,34.7,38.8,6036,1028,3.7481937935,9.27852345118085
"258","13307",0.95,42,45.7,6198,825,5.886746951,6.03140578893133
"259","13320",0.89,22.8,23.7,4555,1446,35.244564777,26.9551679510698
"260","13331",0.94,32.5,34.6,5728,1164,23.6493218115,11.6980758736533
"261","13366",0.84,19.5,20.9,3812,1505,62.9412361636,33.9295692914752
"262","13397",0.95,38.3,40.4,6889,915,8.475059301,6.37668722083599
"263","1340",0.93,51.7,53.7,5701,1018,5.117311622,11.0903757786119
"264","13401",0.96,40.7,43.4,6281,836,4.3654240973,5.97518282138173
"265","13404",0.96,44.8,47.2,6107,749,3.9417965684,5.76374010413349
"266","13416",0.94,32.9,35.2,6560,1058,10.2147947277,8.06981705840031
"267","13427",0.92,26.9,29.3,5791,1302,20.4824558697,14.0699445537067
"268","13428",0.92,25.6,28.5,5565,1293,14.2283782079,16.1097959709529
"269","13476",0.88,20.2,22.2,4240,1524,25.8249516148,28.5737005189957
"270","13495",0.93,27.8,30,6588,1304,5.8244490087,12.1850417231574
"271","1373",0.9,33.1,34.6,4758,1394,19.382564342,24.0327257142723
"272","1382",0.91,40.4,42.2,5058,1207,25.4699197568,20.8655257842301
"273","141",0.11,1.8,3.5,0,0,1.5277058777,13.9256585880089
"274","1430",0.88,40.2,41.7,3895,1229,30.8215411668,31.9737287229068
"275","1434",0.88,39.6,40.2,3516,1216,44.3896199903,29.5387982100212
"276","1443",0.91,46.4,47.5,4157,1116,32.0968221791,20.9660087588162
"277","1451",0.93,53.9,55.4,5197,982,13.7630709505,8.88122451351331
"278","1460",0.67,24.5,25.3,1066,821,59.1447648135,62.0138468117881
"279","148",0.72,6.1,10.6,2281,2173,53.6226339792,105.346885175522
"280","1498",0.98,32.1,39.5,7370,453,1.9440742371,3.11970293041563
"281","1521",0.95,21,23.6,6299,957,9.8688998887,4.52056228380333
"282","1538",0.89,11.5,13,5719,1872,7.6634098457,22.3989990847384
"283","1552",0.72,6.3,7.1,2545,2156,67.322490862,116.00345300892
"284","1561",0.93,17.1,20,5659,1198,5.8725794535,8.51921139532369
"285","1578",0.95,21.4,25.8,7488,883,4.388647452,5.80330869543059
"286","1581",0.96,24.5,27.4,6721,772,6.5699761911,4.82246279607746
"287","1584",0.96,24.5,29.4,7510,726,3.8431382859,4.63316997698505
"288","1595",0.86,10.4,12.9,4862,1911,13.3905463519,32.3847263333478
"289","1603",0.93,16.7,19.2,5927,1277,7.9844754293,8.09754928915791
"290","1614",0.96,23.2,26.6,6611,877,8.1442640798,5.52118935071906
"291","1653",0.94,18.2,22.3,7117,1048,4.6680956901,7.86669759947468
"292","1684",0.98,28.7,35.7,7442,526,2.10936636,3.30575608348099
"293","1692",0.93,15.6,19.2,5978,1321,6.4765101664,9.39249069145933
"294","1694",0.92,16.2,19.6,6365,1315,10.7453446278,10.759595278453
"295","1696",0.69,4.8,6.2,2738,1871,178.1871619561,128.822947632317
"296","1710",0.95,17.5,22.5,7187,1067,10.1003476819,6.39994566625058
"297","1711",0.95,18.4,23,7480,1006,7.6009754752,6.65744632257597
"298","1714",0.95,19.6,23.6,6839,912,3.9431695163,5.25548113344618
"299","1716",0.95,18.7,24.3,7565,1025,7.581562935,6.90918870871061
"300","1724",0.96,21,25.3,8560,862,3.1276318475,4.86757051042556
"301","1728",0.96,23.1,28.8,8582,758,4.2790215717,4.19729164872672
"302","1730",0.96,22.9,28.1,8373,771,3.9690088499,4.64248388027696
"303","1736",0.98,27.7,34.9,9449,561,2.7758678074,3.25867612349771
"304","1744",0.84,8.7,9.2,4498,2011,70.6087678544,55.481595928059
"305","1752",0.95,18.8,22.8,7394,1057,7.5147669363,7.17729469096146
"306","1756",0.95,19,23.4,8431,979,4.918972505,5.53640115508798
"307","1765",0.96,23,28.4,8817,779,3.9354340599,4.3996012939109
"308","1773",0.97,26.1,30,7695,692,5.1729659112,3.45932887301752
"309","178",0.84,11.7,16.3,4066,1865,38.7637743156,30.5336174670072
"310","1794",0.91,13.3,17.4,6642,1436,12.4979243465,13.4423249202175
"311","1799",0.95,17.3,19.8,8611,1093,4.344860848,6.15379961266272
"312","18",0.86,14.4,15.9,4420,1782,10.7753468898,27.3592424911544
"313","180",0.83,11.7,16.3,3653,1806,15.0165263943,37.6952687594883
"314","1809",0.96,21.9,27,7921,814,4.716217637,5.07327497897062
"315","181",0.86,12.7,17.4,4405,1695,21.739254505,24.940793871533
"316","1812",0.96,21.9,26.6,7880,869,6.3669478152,5.0214809434886
"317","188",0.45,3.7,7.6,451,659,100.6010088872,108.990821866748
"318","1890",0.94,16.7,20.7,6980,1148,8.9263787507,7.91807318173601
"319","1892",0.95,18.6,21.8,6741,1002,5.363273419,5.26905146457687
"320","190",0.4,3.5,5.3,187,243,112.7347044841,90.2515231514072
"321","1910",0.93,15.6,18.2,7050,1280,8.4655987736,7.36219154208586
"322","194",0.63,4.5,7.5,1422,1384,158.517473126,151.7680602739
"323","1950",0.96,22.7,28.9,7318,841,6.9299394505,4.8692797908328
"324","1967",0.97,27.1,31.7,8652,697,3.5038639991,3.62930262225445
"325","1977",0.98,33.4,39.8,9162,518,2.6203960903,2.63640548588569
"326","1979",0.91,13.7,18.6,6644,1479,11.3839201352,14.6442407134023
"327","2004",0.94,19.1,23,8428,1147,7.0638589305,6.55855868097042
"328","2007",0.95,20.3,24.5,8318,1029,3.9812263728,5.91766013505779
"329","2028",0.85,10.2,13.2,4956,1839,41.64092338,32.3197346690568
"330","203",0.79,7.2,12.4,2467,1686,197.9126480666,121.667638696323
"331","2034",0.91,12.8,16.2,6449,1535,18.685917356,16.1578606708651
"332","2045",0.94,17,21,8761,1171,4.403040105,7.3679135892761
"333","2049",0.94,18.7,22.5,7517,1109,5.6157732707,6.90101062349985
"334","2059",0.84,8.1,9.9,5619,2196,39.5453962748,95.2803064782833
"335","2060",0.95,20.7,25.2,7821,970,5.899251745,5.47100471929591
"336","2069",0.83,8,11.1,4933,2144,74.4042867994,84.9771447567597
"337","2070",0.85,9.1,11.8,4937,2008,36.6359916466,39.2899671955534
