"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","Min","Median","Q1","predicted"
"66","10686",0.96,25.4,28,6330,768,3.1506064551,-979.289,-14.818,-83.3,3.45358400277896
"67","1069",0.92,41.3,43,4898,1090,14.67113651,-1609.12,-14.9065,-182.1005,13.6560655424597
"68","10691",0.97,30.7,31.3,6816,627,4.7760742338,-1203.09,-6.5763,-58.9452,4.18598030023472
"69","1072",0.9,38.7,40.2,4555,1209,24.6658301624,-1601,-14.79995,-228.738,24.4306302759607
"70","10722",0.92,16.9,19.9,5477,1170,5.8719887003,-1139.71,-55.50995,-197.855,6.48165596099757
"71","10736",0.9,12.1,16.6,5944,1638,4.8566751028,-851.65,-99.3918,-251.564,7.15699925115282
"72","10759",0.98,39.5,43.9,7957,395,2.0716881903,-862.502,-0.0755858,-19.9221,2.01113070679225
"73","10798",0.98,36.8,38.3,8663,477,2.1957845566,-881.985,-0.787612,-26.02865,2.27359192386442
"74","10801",0.98,37.7,39.8,8251,420,1.6777039017,-747.107,-0.375296,-20.367525,1.90221130962568
"75","10814",0.99,48.4,50.8,9194,294,1.6821473504,-798.531,0,-7.766125,1.64830695801796
"76","10835",0.98,38,38.8,7246,450,3.3252175088,-1011.95,-0.760926,-29.44915,2.88297410649649
"77","10864",0.95,19.7,24.2,6544,988,5.0215831987,-1024.83,-32.964,-144.791,4.76175367302847
"78","10865",0.96,22.4,25.6,6373,859,3.9511530472,-1019.41,-22.3616,-106.8385,3.92345760405568
"79","10884",0.98,39.7,41.6,7438,410,2.7395932679,-982.208,-0.149433,-23.327975,2.61570097613117
"80","10908",0.99,48.2,51.3,7295,273,1.5853138131,-925.656,0,-6.909525,1.62132012204174
"81","10923",0.91,18.2,20.8,5993,1548,18.2817400254,-1423.62,-94.43155,-297.8505,17.4527311519183
"82","10929",0.92,23.5,25,5666,1336,19.5342124869,-1503.16,-59.3287,-254.24125,18.2999412839461
"83","1093",0.8,28.5,29.3,2256,1186,59.8430130047,-2016.67,-18.9867,-299.409,61.1049765408967
"84","10941",0.92,23.9,25.6,5538,1346,19.8585150268,-1501.3,-56.4855,-258.9515,18.6228360129287
"85","1096",0.88,28.3,29.4,3981,1419,54.1178463011,-1733.47,-33.8265,-356.983,45.9143433920064
