"","MOF.ID","VF","PLD","LCD","GSA","VSA","y_act","Min","Median","Q1","predicted"
"91","11047",0.97,43.1,46.6,8010,608,2.0281318867,-1493.73,-3.374425,-48.739875,2.02067379613669
"92","11053",0.85,18.5,22.1,3895,1447,11.7671868079,-1846.29,-85.66785,-339.8895,10.868809616274
"93","1106",0.89,27.7,29.2,4037,1481,7.292583741,-1636.61,-57.8184,-358.298,8.28469142084904
"94","11074",0.91,13.9,23.2,5122,1481,2.5451912511,-855.215,-73.2267,-230.548,3.03615693813464
"95","11079",0.92,16.8,26.8,5888,1429,3.4335933449,-1297.94,-58.4983,-224.47475,3.64701705009906
"96","11090",0.93,19,31.4,5999,1102,2.3014163446,-1058.08,-29.0261,-140.337,2.4486284397585
"97","11094",0.95,21.2,33.8,6991,1094,2.3030492712,-1028.36,-27.3747,-137.148,2.36936365824681
"98","11104",0.96,26.1,41.5,6991,810,2.5328826539,-1342.65,-11.9497,-89.7197,2.50203259980441
"99","11127",0.93,17.9,25.1,6799,1273,3.6845706785,-1157.89,-46.2236,-199.08175,3.54212366122287
"100","11142",0.95,21.5,33.8,8133,1048,2.4725718699,-1091.95,-27.3636,-135.262,2.46884264735554
"101","11154",0.96,29.3,35.1,6580,867,2.0675693104,-1116.52,-17.35875,-103.38875,2.14698406236006
"102","11159",0.88,11.1,20.9,4524,1744,6.6895024986,-1490.63,-162.855,-373.20375,7.0683449187006
"103","11185",0.85,12,15,3822,1689,10.3805347153,-1810.86,-168.6525,-427.9125,10.8898108793688
"104","11233",0.85,10,17.4,3879,1746,10.8856174509,-1705.49,-192.967,-445.258,10.6960157075161
"105","11238",0.95,23.4,36.6,7487,972,2.673020784,-1154.89,-23.3592,-126.4705,2.61397419304727
"106","11241",0.96,22.9,38.3,7292,927,2.664714513,-1193.17,-21.527,-124,2.6043893528271
"107","1125",0.93,40.5,42.8,5828,1085,3.7938641271,-1850.24,-24.03665,-182.02425,4.00403995514088
"108","11255",0.87,11.3,18.7,4136,1678,7.8543593465,-1534.01,-147.4815,-363.0775,7.60509928338098
"109","11259",0.76,6.7,12.7,3401,2029,17.8581116725,-2041.81,-144.387,-639.7885,19.8019435114845
"110","11263",0.9,13.8,24.4,5481,1460,3.923647203,-1259.21,-75.4366,-251.168,3.99303781077834
"111","11267",0.93,16,30.2,6305,1220,4.2067588099,-1335.56,-46.84,-202.2665,3.97237008551872
"112","11305",0.87,12.6,23.1,4876,1480,7.4155031127,-1816.83,-94.4005,-292.6975,7.29601891507901
"113","11307",0.66,3.8,9.5,849,1107,60.9708138088,-1676.55,13648.7,-951.255,57.2612559204948
"114","11321",0.91,13.3,25.6,5331,1442,7.8899737618,-1730.82,-77.476,-275.7175,6.78891417844137
"115","11330",0.93,16.7,29.3,6371,1162,2.7378596153,-1074.53,-40.1506,-173.763,2.88118975298952
"116","11347",0.96,22.1,41.2,8188,798,2.20737815,-1205.55,-11.5044,-82.3028,2.220744059551
"117","11348",0.96,23.5,43.4,8016,797,2.2216632857,-1003.81,-12.07155,-85.62635,2.15675178455196
"118","11352",0.8,9,17.2,3340,1695,11.0235273697,-1594.84,-205.457,-487.29,11.1549640659321
"119","11409",0.92,15.6,24,5716,1430,5.7080115115,-1446.33,-79.3447,-272.968,5.5297052904409
"120","11411",0.92,16.2,23.5,5834,1588,7.1775850452,-1462.53,-110.403,-311.962,6.41257499411277
"121","11419",0.94,20.1,30.2,6642,1225,4.3354408014,-1475.45,-51.98785,-206.22375,4.22478695545275
"122","11420",0.94,18.5,27.4,6373,1244,4.0007832197,-1352.29,-57.9797,-202.39225,3.90583060634698
"123","1143",0.96,53.4,55.9,7809,866,2.6199251478,-1714.78,-12.997,-106.245,2.6754300312545
"124","11437",0.95,23.5,33.5,7162,1034,3.0927621973,-1290.28,-30.9941,-140.734,2.9692793254584
"125","11479",0.95,24.3,35.4,6769,946,2.3780932555,-1350.45,-24.6473,-124.78,2.57504171194099
"126","11482",0.95,24.9,35.6,7335,978,2.7765279787,-1367.73,-25.1026,-130.6105,2.80675138360735
"127","11484",0.87,13.2,18.6,4093,1730,8.4939909889,-1383.97,-163.399,-441.473,8.42961721371046
"128","11486",0.96,26,39.6,7407,884,2.7275694245,-1337.14,-17.76915,-107.3385,2.66889853664453
"129","11495",0.87,13.3,18.2,4163,1646,8.0748759757,-1488.45,-129.316,-361.232,7.53011174233975
"130","11497",0.85,10.8,20.7,4236,1704,14.2210034894,-2144.34,-138.1385,-399.0605,12.6382759820484
"131","11501",0.87,17.2,23.9,4710,1360,6.2134498971,-1719.31,-75.0241,-275.656,6.58515424864262
